Common_Name,Family,Diameter_Breast_Height,Age_Description
Sweet Pittosporum,Pittosporaceae,11,Semi-Mature
Freeman Maple,Sapindaceae,5,Juvenile
Lightwood Wattle,Fabaceae,,
Yellow Gum,Myrtaceae,4,Juvenile
Spotted Gum,Myrtaceae,19,Semi-Mature
Spotted Gum,Myrtaceae,,
Coastal Banksia,Proteaceae,,
Willow Bottlebrush,Myrtaceae,,
Lemon Scented Gum,Myrtaceae,,
London Plane,Platanaceae,19,Semi-Mature
Yellow Gum,Myrtaceae,,
River red gum,Myrtaceae,,
London Plane,Platanaceae,59,Mature
Golden Spray,Fabaceae,,
Black Wattle,Fabaceae,,
Pin Oak,Fagaceae,,
Lightwood Wattle,Fabaceae,,
Red Box,Myrtaceae,,
English Elm,Ulmaceae,,
Honey locust,Fabaceae,,
Wattle,Fabaceae,,
Red Box,Myrtaceae,,
London Plane,Platanaceae,17,Semi-Mature
Spotted Gum,Myrtaceae,5,New
Kurrajong,Malvaceae,,
Liquidamber or Sweet Gum,Altingiaceae,,
Willow Bottlebrush,Myrtaceae,26,Semi-Mature
Lemon Scented Gum,Myrtaceae,,
Sweet Pittosporum,Pittosporaceae,17,Mature
River red gum,Myrtaceae,,
`Rosea¿ Red Ironbark,Myrtaceae,,
Manna Gum,Myrtaceae,,
Yellow Box,Myrtaceae,,
Spotted Gum,Myrtaceae,,
Yellow Box,Myrtaceae,,
English Elm,Ulmaceae,12,Juvenile
Tuckeroo,Sapindaceae,,
Willow Bottlebrush,Myrtaceae,,
River red gum,Myrtaceae,,
Red Flowering Yellow Gum,Myrtaceae,,
Rough-barked apple,Myrtaceae,,
Willow Bottlebrush,Myrtaceae,29,Semi-Mature
Cyprus Plane,Platanaceae,24,Semi-Mature
Elm,Ulmaceae,107,Mature
Coastal Banksia,Proteaceae,,
Ivy curl,Proteaceae,,
London Plane,Platanaceae,54,Mature
Black She Oak,Casuarinaceae,,
Spotted Gum,Myrtaceae,22,Semi-Mature
Huntingdon Elm,Ulmaceae,80,Mature
European Olive,Oleaceae,,
Red Oak,Fagaceae,19,Semi-Mature
Yellow Box,Myrtaceae,,
Coastal Banksia,Proteaceae,,
Grey Sheoak,Casuarinaceae,,
Swamp or Bald Cypress,Cupressaceae,1,New
Golden Wattle,Fabaceae,,
Ironbark,Myrtaceae,15,Juvenile
Bangalay,Myrtaceae,65,Mature
Moonah,Myrtaceae,,
Black Tea Tree,Myrtaceae,,
River red gum,Myrtaceae,,
Chinese Elm,Ulmaceae,,
River red gum,Myrtaceae,3,New
Unknown,Myrtaceae,,
Yellow Gum,Myrtaceae,,
Ironbark,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
Australian Frangipani,Pittosporaceae,,
Manchurian Pear,Rosaceae,,
Maidenhair Tree,Ginkgoaceae,5,Juvenile
Lemon Scented Gum,Myrtaceae,37,Semi-Mature
Black Wattle,Fabaceae,,
River red gum,Myrtaceae,15,Semi-Mature
Manna Gum,Myrtaceae,,
Spotted Gum,Myrtaceae,,
Elm,Ulmaceae,61,Mature
Boobialla,Scrophulariaceae,,
Brush Box,Myrtaceae,14,Semi-Mature
Chinaberry Tree,Meliaceae,,
Drooping sheoak,Casuarinaceae,,
Brush Box,Myrtaceae,45,Mature
Yellow Box,Myrtaceae,,
River red gum,Myrtaceae,,
Yellow Box,Myrtaceae,,
Japanese Zelkova,Ulmaceae,23,Semi-Mature
English Elm,Ulmaceae,5,Juvenile
Elm,Ulmaceae,81,Mature
Red Ironbark,Myrtaceae,,
Sandpaper Fig,Moraceae,,
Lemon Scented Gum,Myrtaceae,66,Mature
Chinese Elm,Ulmaceae,,
Port Jackson or Rusty Fig,Moraceae,,
Oleander,Apocynaceae,,
Deodar,Pinaceae,85,Mature
Gossamer Wattle,Fabaceae,52,Mature
Lightwood Wattle,Fabaceae,,
Algerian Oak,Fagaceae,,
River red gum,Myrtaceae,,
River red gum,Myrtaceae,,
Deodar,Pinaceae,6,Juvenile
London Plane,Platanaceae,36,Semi-Mature
